work_id,financial_year,work_name,work_description,sector_code,state_code,district_code,constituency_code,mp_id,implementing_agency_id,recommendation_date,sanction_date,expected_completion_date,actual_completion_date,recommended_cost,sanctioned_cost,cumulative_fund_released,cumulative_expenditure,physical_progress_percent,work_status,contractor_name,contractor_id,location_geotag_verified,has_photo_evidence,source_report,source_url,source_file,data_version,last_updated
MPL-2026-01001,2024-25,Development of Smart Classrooms and Science Lab - Unit 1,Synthetic demo project unit 1 in MH-SOL,SEC-DRINK,IN-MH,MH-SOL,PC-MH-42,MP-MH-SOL-01,AG-MH-SOL-01,2024-04-16,2024-05-08,2024-09-22,,43.47,39.46,15.78,0.0,0.0,Sanctioned,Demo Infrastructure Partner 2,VEN-DEMO-002,True,True,DEMO DATA - NOT OFFICIAL MPLADS DATA,https://mplads.gov.in,synthetic_generator_sih2026.py,v1.0-2026,2026-08-30T16:19:45.387854
MPL-2026-01002,2024-25,Construction of Community Hall and Skill Center - Unit 2,Synthetic demo project unit 2 in MH-SOL,SEC-COMM,IN-MH,MH-SOL,PC-MH-42,MP-MH-SOL-01,AG-MH-SOL-01,2024-04-02,2024-04-19,2024-09-13,,21.05,19.31,15.07,12.13,69.4,Ongoing,Demo Infrastructure Partner 3,VEN-DEMO-003,True,True,DEMO DATA - NOT OFFICIAL MPLADS DATA,https://mplads.gov.in,synthetic_generator_sih2026.py,v1.0-2026,2026-08-30T16:19:45.387991
MPL-2026-01003,2024-25,Construction of Community Hall and Skill Center - Unit 3,Synthetic demo project unit 3 in WB-KOL,SEC-ROAD,IN-WB,WB-KOL,PC-WB-24,MP-WB-KOL-01,AG-WB-KOL-01,2024-05-19,2024-06-28,2024-11-15,2024-10-17,39.87,37.93,37.93,36.67,100.0,Completed,Demo Infrastructure Partner 4,VEN-DEMO-004,True,True,DEMO DATA - NOT OFFICIAL MPLADS DATA,https://mplads.gov.in,synthetic_generator_sih2026.py,v1.0-2026,2026-08-30T16:19:45.388005
MPL-2026-01004,2024-25,Installation of Deep Borewell with Solar Submersible Pump - Unit 4,Synthetic demo project unit 4 in MH-SOL,SEC-COMM,IN-MH,MH-SOL,PC-MH-42,MP-MH-SOL-01,AG-MH-SOL-01,2024-04-23,2024-06-04,2024-11-15,,38.28,34.15,33.97,30.55,31.1,Delayed,Demo Infrastructure Partner 5,VEN-DEMO-005,True,True,DEMO DATA - NOT OFFICIAL MPLADS DATA,https://mplads.gov.in,synthetic_generator_sih2026.py,v1.0-2026,2026-08-30T16:19:45.388014
MPL-2026-01005,2024-25,Procurement of Diagnostic Equipment for Primary Health Center - Unit 5,Synthetic demo project unit 5 in UP-VAR,SEC-IRRI,IN-UP,UP-VAR,PC-UP-77,MP-UP-VAR-01,AG-UP-VAR-01,2024-05-16,2024-06-02,2024-10-05,,40.68,36.45,14.58,0.0,0.0,Sanctioned,Demo Infrastructure Partner 6,VEN-DEMO-006,True,True,DEMO DATA - NOT OFFICIAL MPLADS DATA,https://mplads.gov.in,synthetic_generator_sih2026.py,v1.0-2026,2026-08-30T16:19:45.388022
MPL-2026-01006,2024-25,Installation of 50 LED Solar Street Lighting Units - Unit 6,Synthetic demo project unit 6 in BR-BEG,SEC-EDU,IN-BR,BR-BEG,PC-BR-24,MP-BR-BEG-01,AG-BR-BEG-01,2024-04-18,2024-05-17,2024-12-04,,44.42,43.36,33.85,29.48,66.9,Ongoing,Demo Infrastructure Partner 1,VEN-DEMO-001,True,True,DEMO DATA - NOT OFFICIAL MPLADS DATA,https://mplads.gov.in,synthetic_generator_sih2026.py,v1.0-2026,2026-08-30T16:19:45.388032
MPL-2026-01007,2024-25,Procurement of Diagnostic Equipment for Primary Health Center - Unit 7,Synthetic demo project unit 7 in MH-SOL,SEC-HEALTH,IN-MH,MH-SOL,PC-MH-42,MP-MH-SOL-01,AG-MH-SOL-01,2024-04-11,2024-05-10,2024-10-25,,23.69,20.8,13.1,11.69,42.1,Ongoing,Demo Infrastructure Partner 2,VEN-DEMO-002,True,True,DEMO DATA - NOT OFFICIAL MPLADS DATA,https://mplads.gov.in,synthetic_generator_sih2026.py,v1.0-2026,2026-08-30T16:19:45.388039
MPL-2026-01008,2024-25,Construction of Community Hall and Skill Center - Unit 8,Synthetic demo project unit 8 in MH-PUN,SEC-SAN,IN-MH,MH-PUN,PC-MH-34,MP-MH-PUN-01,AG-MH-PUN-01,2024-05-22,2024-06-16,2024-12-04,,21.37,20.71,8.28,0.0,0.0,Sanctioned,Demo Infrastructure Partner 3,VEN-DEMO-003,True,True,DEMO DATA - NOT OFFICIAL MPLADS DATA,https://mplads.gov.in,synthetic_generator_sih2026.py,v1.0-2026,2026-08-30T16:19:45.388048
MPL-2026-01009,2024-25,Underground Drainage and Solid Waste Management Facility - Unit 9,Synthetic demo project unit 9 in RJ-SIK,SEC-SAN,IN-RJ,RJ-SIK,PC-RJ-04,MP-RJ-SIK-01,AG-RJ-SIK-01,2024-04-26,2024-06-08,2025-01-31,2025-01-03,36.48,35.71,35.71,34.93,100.0,Completed,Demo Infrastructure Partner 4,VEN-DEMO-004,True,True,DEMO DATA - NOT OFFICIAL MPLADS DATA,https://mplads.gov.in,synthetic_generator_sih2026.py,v1.0-2026,2026-08-30T16:19:45.388057
MPL-2026-01010,2024-25,Installation of 50 LED Solar Street Lighting Units - Unit 10,Synthetic demo project unit 10 in UP-VAR,SEC-COMM,IN-UP,UP-VAR,PC-UP-77,MP-UP-VAR-01,AG-UP-VAR-01,2024-04-24,2024-05-16,2024-09-30,2024-09-22,30.79,30.38,30.38,29.09,100.0,Completed,Demo Infrastructure Partner 5,VEN-DEMO-005,True,True,DEMO DATA - NOT OFFICIAL MPLADS DATA,https://mplads.gov.in,synthetic_generator_sih2026.py,v1.0-2026,2026-08-30T16:19:45.388066
